name,dob,country,nationalTeam,battingStyle,bowlingStyle
Richie Richardson,12-01-1962,Antigua and barbuda,West Indies,Right-hand bat,Right-arm medium
Richie Robinson,08-06-1946,Australia,Australia,Right-hand bat,
Richmond Mutumbami,11-06-1989,Zimbabwe,Zimbabwe,Right-hand bat,Off-break
Rick Darling,01-05-1957,Australia,Australia,Right-hand bat,
Rick McCosker,11-12-1946,Australia,Australia,Right-hand bat,Leg-break
Ricky Ponting,19-12-1974,Australia,Australia,Right-hand bat,"Off-break, Right-arm medium"
Ridley Jacobs,26-11-1967,Antigua and barbuda,West Indies,Left-hand bat,
Rikki Clarke,29-09-1981,England,England,Right-hand bat,Right-arm fast-medium
Rizwan Ahmed,01-10-1978,Pakistan,Pakistan,Right-hand bat,Leg-break googly
Rizwan Cheema,15-08-1978,Pakistan,Canada,Right-hand bat,Right-arm slow-medium
Rizwan Latif,05-10-1973,Pakistan,United Arab Emirates,Right-hand bat,Slow left-arm
Rizwan-uz-Zaman,04-09-1961,Pakistan,Pakistan,Right-hand bat,Leg-break googly
Rob Bailey,28-10-1963,England,England,Right-hand bat,Off-break
Rob Nicol,28-05-1983,New Zealand,New Zealand,Right-hand bat,"Off-break, Right-arm medium"
Robbie Hart,02-12-1974,New Zealand,New Zealand,Right-hand bat,
Robbie Kerr,16-06-1961,Australia,Australia,Right-hand bat,Leg-break googly
Robert Anderson,02-10-1948,New Zealand,New Zealand,Right-hand bat,Leg-break
Robert Callender,02-11-1950,Barbados,Canada,Right-hand bat,Right-arm medium-fast
Robert Christiani,19-07-1920,Guyana,West Indies,Right-hand bat,Off-break
Robert Croft,25-05-1970,Wales,England,Right-hand bat,Off-break
Robert Dower,04-06-1876,South Africa,South Africa,Right-hand bat,
Robert Gleeson,10-12-1872,South Africa,South Africa,Right-hand bat,Right-arm medium
Robert Graham,16-09-1877,South Africa,South Africa,Right-hand bat,Right-arm medium
Robert Harvey,14-09-1911,South Africa,South Africa,Right-hand bat,Right-arm medium
Robert Haynes,02-11-1964,Jamaica,West Indies,Left-hand bat,Leg-break googly
Robert Kennedy,03-06-1972,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Robert Key,12-05-1979,England,England,Right-hand bat,Right-arm medium
Robert Poore,20-03-1866,Ireland,South Africa,Right-hand bat,Right-arm slow
Robert Quiney,20-08-1982,Australia,Australia,Left-hand bat,Right-arm medium
Robert Samuels,13-03-1971,Jamaica,West Indies,Left-hand bat,
Robert Stewart,03-09-1856,India,South Africa,Right-hand bat,
Robert Taylor,21-12-1989,England,Scotland,Left-hand bat,Left-arm medium
Robert van Oosterom,16-10-1968,Netherlands,Netherlands,Right-hand bat,
Robert Vance,31-03-1955,New Zealand,New Zealand,Right-hand bat,Off-break
Robin Brown,11-03-1951,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm medium
Robin Bynoe,23-02-1941,Barbados,West Indies,Right-hand bat,Slow left-arm
Robin Hobbs,08-05-1942,England,England,Right-hand bat,Leg-break googly
Robin Jackman,13-08-1945,India,England,Right-hand bat,Right-arm fast-medium
Robin Martin-Jenkins,28-10-1975,England,,Right-hand bat,Right-arm fast-medium
Robin Peterson,04-08-1979,South Africa,South Africa,Left-hand bat,Slow left-arm
Robin Singh,01-01-1970,India,India,Right-hand bat,Right-arm fast-medium
Robin Singh Sr,14-09-1963,Trinidad and Tobago,India,Left-hand bat,Right-arm medium
Robin Smith,13-09-1963,South Africa,England,Right-hand bat,Leg-break
Robin Uthappa,11-11-1985,India,India,Right-hand bat,Right-arm medium
Robiul Islam,20-10-1986,Bangladesh,Bangladesh,Right-hand bat,Right-arm fast-medium
Rockley Wilson,25-03-1879,England,England,Right-hand bat,Right-arm slow
Rod Latham,12-06-1961,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Rod Marsh,04-11-1947,Australia,Australia,Left-hand bat,Off-break
Rod McCurdy,30-12-1959,Australia,Australia,Right-hand bat,Right-arm fast-medium
Rodney Hogg,05-03-1951,Australia,Australia,Right-hand bat,Right-arm fast
Rodney Redmond,29-12-1944,New Zealand,New Zealand,Left-hand bat,Slow left-arm
Rodney Trott,08-09-1987,Bermuda,Bermuda,Right-hand bat,Off-break
Roelof van der Merwe,31-12-1984,South Africa,Netherlands,Right-hand bat,Slow left-arm
Roger Binny,19-07-1955,India,India,Right-hand bat,Right-arm medium
Roger Blunt,03-11-1900,England,New Zealand,Right-hand bat,Leg-break
Roger Harper,17-03-1963,Guyana,West Indies,Right-hand bat,Off-break
Roger Harris,27-07-1933,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Roger Hartigan,12-12-1879,Australia,Australia,Right-hand bat,Right-arm
Roger Prideaux,31-07-1939,England,England,Right-hand bat,Right-arm medium
Roger Telemachus,27-03-1973,South Africa,South Africa,Right-hand bat,Right-arm fast-medium
Roger Tolchard,15-06-1946,England,England,Right-hand bat,Off-break
Roger Twose,17-04-1968,England,New Zealand,Left-hand bat,Right-arm medium
Roger Whelan,27-07-1980,Ireland,Ireland,Right-hand bat,Right-arm fast-medium
Roger Wijesuriya,18-02-1960,Sri Lanka,Sri Lanka,Right-hand bat,Slow left-arm
Roger Woolley,16-09-1954,Australia,Australia,Right-hand bat,
Rohan Alexander,20-02-1973,Jamaica,United States of America,Left-hand bat,Off-break
Rohan Gavaskar,20-02-1976,India,India,Left-hand bat,Slow left-arm
Rohan Jayasekera,07-12-1957,Sri Lanka,Sri Lanka,Right-hand bat,
Rohan Kanhai,26-12-1935,Guyana,West Indies,Right-hand bat,Right-arm medium
Rohan Mustafa,07-10-1988,Pakistan,United Arab Emirates,Left-hand bat,Off-break
Rohit Sharma,30-04-1987,India,India,Right-hand bat,Off-break
Roland Butcher,14-10-1953,Barbados,England,Right-hand bat,Right-arm medium
Roland Holder,22-12-1967,Trinidad and Tobago,West Indies,Right-hand bat,Right-arm medium
Roland Lefebvre,07-02-1963,Netherlands,Netherlands,Right-hand bat,Right-arm medium
Roland Pope,18-02-1864,Australia,Australia,Right-hand bat,Right-arm slow underarm
Rolland Beaumont,04-02-1884,South Africa,South Africa,Right-hand bat,Right-arm
Rolph Grant,15-12-1909,Trinidad and Tobago,West Indies,Right-hand bat,Off-break
Roly Jenkins,24-11-1918,England,England,Right-hand bat,Leg-break googly
Romesh Kaluwitharana,24-11-1969,Sri Lanka,Sri Lanka,Right-hand bat,
Ron Archer,25-10-1933,Australia,Australia,Right-hand bat,Right-arm fast
Ron Gaunt,26-02-1934,Australia,Australia,Left-hand bat,Right-arm fast
Ron Hamence,25-11-1915,Australia,Australia,Right-hand bat,Right-arm medium
Ron Hart,07-11-1961,New Zealand,New Zealand,Right-hand bat,Off-break
Ron Headley,29-06-1939,Jamaica,West Indies,Left-hand bat,Leg-break
Ron Oxenham,28-07-1891,Australia,Australia,Right-hand bat,Right-arm medium
Ron Saggers,15-05-1917,Australia,Australia,Right-hand bat,
Ronald Draper,24-12-1926,South Africa,South Africa,Right-hand bat,
Ronald Stanyforth,30-05-1892,England,England,Right-hand bat,
Ronnie Grieveson,24-08-1909,South Africa,South Africa,Right-hand bat,
Ronnie Hira,23-01-1987,New Zealand,New Zealand,Left-hand bat,Slow left-arm
Ronnie Irani,26-10-1971,England,England,Right-hand bat,Right-arm medium
Rory Hamilton-Brown,03-09-1987,England,,Right-hand bat,Off-break
Rory Kleinveldt,15-03-1983,South Africa,South Africa,Right-hand bat,Right-arm medium-fast
Rory McCann,11-01-1985,Ireland,Ireland,Right-hand bat,
Roshan Guneratne,26-01-1962,Sri Lanka,Sri Lanka,Right-hand bat,Leg-break
Roshan Jurangpathy,25-06-1967,Sri Lanka,Sri Lanka,Right-hand bat,Off-break
Roshan Mahanama,31-05-1966,Sri Lanka,Sri Lanka,Right-hand bat,
Ross Duncan,25-03-1944,Australia,Australia,Right-hand bat,Right-arm fast-medium
Ross Edwards,01-12-1942,Australia,Australia,Right-hand bat,
Ross Gregory,28-02-1916,Australia,Australia,Right-hand bat,Leg-break
Ross Lyons,08-12-1984,Scotland,Scotland,Left-hand bat,Slow left-arm
Ross Morgan,12-02-1941,New Zealand,New Zealand,Right-hand bat,Off-break
Ross Taylor,08-03-1984,New Zealand,New Zealand,Right-hand bat,Off-break
Roy Dias,18-10-1952,Sri Lanka,Sri Lanka,Right-hand bat,Off-break
Roy Fredericks,11-11-1942,Guyana,West Indies,Left-hand bat,Chinaman
Roy Gilchrist,28-06-1934,Jamaica,West Indies,Right-hand bat,Right-arm fast
Roy Harford,30-05-1936,England,New Zealand,Left-hand bat,
Roy Kilner,17-10-1890,England,England,Left-hand bat,Slow left-arm
Roy Lamsam,15-05-1980,Hong Kong,Hong Kong,Right-hand bat,Right-arm medium
Roy Marshall,25-04-1930,Barbados,West Indies,Right-hand bat,Off-break
Roy McLean,09-07-1930,South Africa,South Africa,Right-hand bat,Right-arm slow
Roy Miller,24-12-1924,Jamaica,West Indies,Right-hand bat,Right-arm fast-medium
Roy Minnett,13-06-1888,Australia,Australia,Right-hand bat,Right-arm fast-medium
Roy Park,30-07-1892,Australia,Australia,Right-hand bat,
Roy Scott,06-03-1917,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Roy Swetman,25-10-1933,England,England,Right-hand bat,Off-break
Roy Tattersall,17-08-1922,England,England,Left-hand bat,Off-break
Roydon Hayes,09-05-1971,New Zealand,New Zealand,Right-hand bat,Right-arm fast
Royston Crandon,31-05-1983,Guyana,Guyana,Right-hand bat,Off-break
Rubel Hossain,01-01-1990,Bangladesh,Bangladesh,Right-hand bat,Right-arm medium-fast
Ruchira Perera,06-04-1977,Sri Lanka,Sri Lanka,Left-hand bat,Left-arm medium-fast
Rudi Bryson,25-07-1968,South Africa,South Africa,Right-hand bat,Right-arm fast-medium
Rudi Steyn,30-06-1967,South Africa,South Africa,Right-hand bat,Right-arm medium
Rudi van Vuuren,20-09-1972,Namibia,Namibia,Right-hand bat,Right-arm fast-medium
Rumesh Ratnayake,02-01-1964,Sri Lanka,Sri Lanka,Right-hand bat,"Right-arm fast-medium, Leg-break"
Runako Morton,22-07-1978,St Kitts and Nevis,West Indies,Right-hand bat,Off-break
Runish Gudhka,06-09-1989,Kenya,Kenya,Right-hand bat,Off-break
Rusi Modi,11-11-1924,India,India,Right-hand bat,Right-arm medium
Rusi Surti,25-05-1936,India,India,Left-hand bat,Left-arm medium
Russel Arnold,25-10-1973,Sri Lanka,Sri Lanka,Left-hand bat,Off-break
Russell Endean,31-05-1924,South Africa,South Africa,Right-hand bat,
Rustam Bhatti,18-02-1990,Pakistan,Canada,Right-hand bat,Off-break
Rustomji Jamshedji,18-11-1892,India,India,Right-hand bat,Slow left-arm
Ruud Nijman,15-06-1982,Netherlands,Netherlands,Right-hand bat,Right-arm medium-fast
Ruvindu Gunasekera,20-07-1991,Sri Lanka,Canada,Left-hand bat,Leg-break googly
Ruwan Kalpage,19-02-1970,Sri Lanka,Sri Lanka,Left-hand bat,Off-break
Ryan Austin,15-11-1981,Trinidad and Tobago,West Indies,Right-hand bat,Off-break
Ryan Campbell,07-02-1972,Australia,Hong Kong,Right-hand bat,Off-break
Ryan Carters,25-07-1990,Australia,,Right-hand bat,
Ryan Flannigan,30-06-1988,Scotland,Scotland,Right-hand bat,Right-arm medium
Ryan Haire,01-05-1981,Ireland,Ireland,Left-hand bat,Leg-break
Ryan Harris,11-10-1979,Australia,Australia,Right-hand bat,Right-arm fast-medium
Ryan Higgins,24-03-1988,Zimbabwe,Zimbabwe,Right-hand bat,Leg-break googly
Ryan Hinds,17-02-1981,Barbados,West Indies,Left-hand bat,Slow left-arm
Ryan Hurley,13-09-1975,Barbados,West Indies,Right-hand bat,Off-break
Ryan McLaren,09-02-1983,South Africa,South Africa,Left-hand bat,Right-arm medium-fast
Ryan Ramdass,03-07-1983,Guyana,West Indies,,
Ryan Sidebottom,15-01-1978,England,England,Left-hand bat,Left-arm fast-medium
Ryan Steede,09-11-1975,Bermuda,Bermuda,Right-hand bat,Right-arm fast-medium
Ryan ten Doeschate,30-06-1980,South Africa,Netherlands,Right-hand bat,Right-arm medium-fast
Ryan Watson,12-11-1976,Zimbabwe,Scotland,Right-hand bat,Right-arm medium
S Badrinath,30-08-1980,India,India,Right-hand bat,Off-break
S Sreesanth,06-02-1983,India,India,Right-hand bat,Right-arm fast-medium
Saadat Ali,06-02-1955,Pakistan,Pakistan,Right-hand bat,Off-break
Saba Karim,14-11-1967,India,India,Right-hand bat,
Sabbir Rahman,20-08-1991,Bangladesh,Bangladesh,Right-hand bat,Leg-break
Sachin Tendulkar,24-04-1973,India,India,Right-hand bat,"Right-arm medium, Off-break, Leg-break"
Sachithra Senanayake,09-02-1985,Sri Lanka,Sri Lanka,Right-hand bat,Off-break
Sadagoppan Ramesh,16-10-1975,India,India,Left-hand bat,Off-break
Sadanand Viswanath,29-11-1962,India,India,Right-hand bat,
Sadashiv Patil,10-10-1933,India,India,Right-hand bat,Right-arm fast-medium
Sadiq Mohammad,03-05-1945,India,Pakistan,Left-hand bat,Leg-break googly
Sadu Shinde,18-08-1923,India,India,Right-hand bat,Leg-break googly
Saeed Ahmed,01-10-1937,India,Pakistan,Right-hand bat,Off-break
Saeed Ajmal,14-10-1977,Pakistan,Pakistan,Right-hand bat,Off-break
Saeed Anwar,06-09-1968,Pakistan,Pakistan,Left-hand bat,Slow left-arm
Saeed Azad,14-08-1964,Pakistan,Pakistan,Right-hand bat,Right-arm medium
Saeed-al-Saffar,31-07-1968,United Arab Emirates,United Arab Emirates,Right-hand bat,Left-arm medium-fast
Safyaan Sharif,24-05-1991,England,Scotland,Right-hand bat,Right-arm fast-medium
Sagar Pun,01-03-1993,Nepal,Nepal,Right-hand bat,Off-break
Saiful Islam,14-04-1969,Pakistan,Bangladesh,Right-hand bat,Right-arm medium
Sailor Young,05-02-1876,England,England,Right-hand bat,Left-arm medium
Sairaj Bahutule,06-01-1973,India,India,Left-hand bat,Leg-break
Sajeewa de Silva,11-01-1971,Sri Lanka,Sri Lanka,Left-hand bat,Left-arm fast-medium
Sajeewa Weerakoon,17-02-1978,Sri Lanka,Sri Lanka,Left-hand bat,Slow left-arm
Sajid Ali,01-07-1963,Pakistan,Pakistan,Right-hand bat,Right-arm medium
Sajid Mahmood,21-12-1981,England,England,Right-hand bat,Right-arm fast-medium
Sajidul Islam,18-01-1988,Bangladesh,Bangladesh,Right-hand bat,Left-arm medium-fast
Sajjad Ahmed,20-05-1974,Bangladesh,Bangladesh,Right-hand bat,Off-break
Sajjad Akbar,01-03-1961,Pakistan,Pakistan,Right-hand bat,Off-break
Salahuddin,14-02-1947,India,Pakistan,Right-hand bat,Off-break
Salahuddin Ahmed,10-02-1969,Pakistan,Bangladesh,Right-hand bat,Off-break
Saleem Altaf,19-04-1944,India,Pakistan,Right-hand bat,Right-arm fast-medium
Saleem Elahi,21-11-1976,Pakistan,Pakistan,Right-hand bat,Off-break
Saleem Jaffar,19-11-1962,Pakistan,Pakistan,Right-hand bat,Left-arm fast-medium
Saleem Malik,16-04-1963,Pakistan,Pakistan,Right-hand bat,"Right-arm medium, Leg-break"
Saleem Mukuddem,20-01-1972,South Africa,Bermuda,Right-hand bat,Right-arm medium
Saleem Pervez,09-09-1947,India,Pakistan,Right-hand bat,Right-arm medium-fast
Saleem Raza,05-07-1964,Pakistan,United Arab Emirates,Right-hand bat,Off-break
Saleem Yousuf,07-12-1959,Pakistan,Pakistan,Right-hand bat,
Salil Ankola,01-03-1968,India,India,Right-hand bat,Right-arm medium-fast
Salim Durani,11-12-1934,Afghanistan,India,Left-hand bat,Slow left-arm
Saliya Ahangama,14-09-1959,Sri Lanka,Sri Lanka,Left-hand bat,Right-arm medium
Salman Butt,07-10-1984,Pakistan,Pakistan,Left-hand bat,Off-break
Salman Faris,18-11-1985,Sri Lanka,United Arab Emirates,Left-hand bat,Leg-break
Sam Cook,23-08-1921,England,England,Right-hand bat,Slow left-arm
Sam Gannon,08-02-1947,Australia,Australia,Right-hand bat,Left-arm fast-medium
Sam Guillen,24-09-1924,Trinidad and Tobago,West Indies,Right-hand bat,
Sam Loxton,29-03-1921,Australia,Australia,Right-hand bat,Right-arm fast-medium
Sam Morris,22-06-1855,Australia,Australia,Right-hand bat,Right-arm medium
Sam Robson,01-07-1989,Australia,England,Right-hand bat,Leg-break
Sam Staples,18-09-1892,England,England,Right-hand bat,Off-break
Sam Walusimbi,30-11-1947,Uganda,,Right-hand bat,Left-arm medium
Sam Wells,13-07-1984,New Zealand,,Left-hand bat,Right-arm medium
Saman Jayantha,26-01-1974,Sri Lanka,Sri Lanka,Right-hand bat,Off-break
Sameer Dighe,08-10-1968,India,India,Right-hand bat,
Sameer Zia,08-09-1981,Pakistan,United Arab Emirates,Right-hand bat,
Sami Faridi,07-09-1983,Saudi Arabia,Canada,Left-hand bat,Chinaman
Samit Patel,30-11-1984,England,England,Right-hand bat,Slow left-arm
Samiullah Khan,04-08-1982,Pakistan,Pakistan,Right-hand bat,Left-arm medium-fast
Samiullah Shenwari,31-12-1987,Afghanistan,Afghanistan,Right-hand bat,Leg-break
Samiur Rahman,03-12-1953,Pakistan,Bangladesh,Right-hand bat,Right-arm fast-medium
Sammy Carter,15-03-1878,England,Australia,Right-hand bat,
Sammy Jones,01-08-1861,Australia,Australia,Right-hand bat,Right-arm fast-medium
Sammy Woods,13-04-1867,Australia,England,Right-hand bat,Right-arm fast-medium
Samuel Badree,08-03-1981,Trinidad and Tobago,West Indies,Right-hand bat,Leg-break
Sanath Jayasuriya,30-06-1969,Sri Lanka,Sri Lanka,Left-hand bat,Slow left-arm
Sanath Kaluperuma,22-10-1961,Sri Lanka,Sri Lanka,Right-hand bat,Off-break
Sandeep Gupta,07-04-1967,Kenya,Kenya,Right-hand bat,
Sandeep Jyoti,14-12-1973,India,Canada,Right-hand bat,Off-break
Sandeep Patil,18-08-1956,India,India,Right-hand bat,Right-arm medium
Sandeep Sharma,18-05-1993,India,India,Right-hand bat,Right-arm fast-medium
Sandford Schultz,29-08-1857,England,England,Right-hand bat,Right-arm fast roundarm
Sandy Bell,15-04-1906,South Africa,South Africa,Right-hand bat,Right-arm fast-medium
Sanjay Bangar,11-10-1972,India,India,Right-hand bat,Right-arm medium
Sanjay Manjrekar,12-07-1965,India,India,Right-hand bat,Off-break
Sanjay Raul,06-10-1976,India,India,Right-hand bat,Off-break
Sanjayan Thuraisingam,11-09-1969,Sri Lanka,Canada,Right-hand bat,Right-arm fast-medium
Sanjeev Sharma,25-08-1965,India,India,Right-hand bat,Right-arm medium
Sanjeeva Ranatunga,25-04-1969,Sri Lanka,Sri Lanka,Left-hand bat,Off-break
Sanjeewa Weerasinghe,01-03-1968,Sri Lanka,Sri Lanka,Right-hand bat,Leg-break googly
Sanju Samson,11-11-1994,India,India,Right-hand bat,Off-break
Sanwar Hossain,05-08-1973,Bangladesh,Bangladesh,Right-hand bat,Off-break
Saqib Ali,14-04-1978,Pakistan,United Arab Emirates,Right-hand bat,Off-break
Saqlain Haider,10-08-1987,Pakistan,United Arab Emirates,Left-hand bat,
Saqlain Mushtaq,29-12-1976,Pakistan,Pakistan,Right-hand bat,Off-break
Saradindu Mukherjee,05-10-1964,India,India,Right-hand bat,Off-break
Sarandeep Singh,21-10-1979,India,India,Right-hand bat,Off-break
Sarel Burger,13-02-1983,Namibia,Namibia,Right-hand bat,Right-arm medium-fast
Sarfraz Nawaz,01-12-1948,Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Saurabh Tiwary,30-12-1989,India,India,Left-hand bat,Off-break
Schofield Haigh,19-03-1871,England,England,Right-hand bat,Right-arm fast-medium
Scotch Taylor,25-07-1925,South Africa,South Africa,Right-hand bat,Leg-break
Scott Borthwick,19-04-1990,England,England,Left-hand bat,Leg-break
Scott Muller,11-07-1971,Australia,Australia,Right-hand bat,Right-arm fast-medium
Scott Styris,10-07-1975,Australia,New Zealand,Right-hand bat,Right-arm fast-medium
Sean Abbott,29-02-1992,Australia,Australia,Right-hand bat,Right-arm medium-fast
Sean Davies,15-10-1973,Zimbabwe,Zimbabwe,Left-hand bat,Right-arm medium-fast
Sean Ervine,06-12-1982,Zimbabwe,Zimbabwe,Left-hand bat,Right-arm medium
Sean Williams,26-09-1986,Zimbabwe,Zimbabwe,Left-hand bat,Slow left-arm
Seekkuge Prasanna,27-06-1985,Sri Lanka,Sri Lanka,Right-hand bat,Leg-break
Sep Kinneir,13-05-1871,England,England,Left-hand bat,Right-arm medium
Seren Waters,11-04-1990,Kenya,Kenya,Right-hand bat,Leg-break
Seth Rance,23-08-1987,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Sew Shivnarine,13-05-1952,Guyana,West Indies,Right-hand bat,Slow left-arm
Sewnarine Chattergoon,03-04-1981,Guyana,Guyana,Left-hand bat,Leg-break
Seymour Nurse,10-11-1933,Barbados,West Indies,Right-hand bat,Off-break
Shabbir Ahmed,21-04-1976,Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Shabir Noori,23-02-1992,Afghanistan,Afghanistan,Right-hand bat,Off-break
Shadab Kabir,12-11-1977,Pakistan,Pakistan,Left-hand bat,Off-break
Shadeep Silva,18-08-1978,Sri Lanka,United Arab Emirates,Left-hand bat,Slow left-arm
Shafiek Abrahams,04-03-1968,South Africa,South Africa,Right-hand bat,Off-break
Shafiq Ahmed,28-03-1949,Pakistan,Pakistan,Right-hand bat,Right-arm medium
Shafiqullah Shinwari,07-08-1989,Afghanistan,Afghanistan,Right-hand bat,
Shafiuddin Ahmed,01-06-1973,Bangladesh,Bangladesh,Right-hand bat,Right-arm fast-medium
Shafiul Islam,06-10-1989,Bangladesh,Bangladesh,Right-hand bat,Right-arm fast-medium
Shafqat Rana,10-08-1943,India,Pakistan,Right-hand bat,Right-arm medium
Shah Nyalchand,14-09-1915,India,India,Left-hand bat,Left-arm medium
Shahadat Hossain,07-08-1986,Bangladesh,Bangladesh,Right-hand bat,Right-arm fast-medium
Shaheed Keshvani,23-05-1984,Canada,Canada,Right-hand bat,Off-break
Shaheedur Rahman,01-01-1963,Pakistan,Bangladesh,Right-hand bat,
Shahid Afridi,01-03-1980,Pakistan,Pakistan,Right-hand bat,Leg-break googly
Shahid Anwar,05-07-1968,Pakistan,Pakistan,Right-hand bat,Right-arm medium
Shahid Israr,01-03-1950,India,Pakistan,Right-hand bat,
Shahid Mahboob,25-08-1962,Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Shahid Mahmood,17-03-1939,India,Pakistan,Left-hand bat,Left-arm medium
Shahid Nazir,04-12-1977,Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Shahid Saeed,06-01-1966,Pakistan,Pakistan,Right-hand bat,Right-arm medium
Shahriar Hossain,01-06-1976,Bangladesh,Bangladesh,Right-hand bat,
Shahriar Nafees,25-01-1986,Bangladesh,Bangladesh,Left-hand bat,Slow left-arm
Shahzad Altaf,06-10-1957,Pakistan,United Arab Emirates,Right-hand bat,Right-arm medium
Shahzad Khan,20-02-1981,Pakistan,Canada,Right-hand bat,Right-arm fast-medium
Shahzaib Hasan,25-12-1989,Pakistan,Pakistan,Right-hand bat,Off-break
Shaiman Anwar,15-03-1979,Pakistan,United Arab Emirates,Right-hand bat,Right-arm fast-medium
Shakeel Ahmed jnr,12-11-1971,Pakistan,Pakistan,Right-hand bat,Off-break
Shakeel Ansar,11-11-1978,Pakistan,Pakistan,Right-hand bat,
Shakeel Khan,28-05-1968,Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Shakib Al Hasan,24-03-1987,Bangladesh,Bangladesh,Left-hand bat,Slow left-arm
Shakti Gauchan,22-04-1984,Nepal,Nepal,Right-hand bat,Leg-break
Shaminda Eranga,23-06-1986,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm medium-fast
Shamsur Rahman,05-06-1988,Bangladesh,Bangladesh,Right-hand bat,Right-arm medium
Shan Masood,14-10-1989,Kuwait,Pakistan,Left-hand bat,Right-arm medium-fast
Shanan Stewart,21-06-1982,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Shane Bond,07-06-1975,New Zealand,New Zealand,Right-hand bat,Right-arm fast
Shane Harwood,01-03-1974,Australia,Australia,Right-hand bat,Right-arm fast-medium
Shane Lee,08-08-1973,Australia,Australia,Right-hand bat,Right-arm medium
Shane Shillingford,22-02-1983,Dominica,West Indies,Right-hand bat,Off-break
Shane Thomson,27-01-1969,New Zealand,New Zealand,Right-hand bat,"Right-arm fast-medium, Off-break"
Shane Warne,13-09-1969,Australia,Australia,Right-hand bat,Leg-break googly
Shane Watson,17-06-1981,Australia,Australia,Right-hand bat,Right-arm medium-fast
Shannon Gabriel,28-04-1988,Trinidad and Tobago,West Indies,Right-hand bat,Right-arm fast
Shantha Kalavitigoda,23-12-1977,Sri Lanka,Sri Lanka,Right-hand bat,Leg-break
Shapoor Zadran,08-07-1987,Afghanistan,Afghanistan,Left-hand bat,Left-arm fast-medium
Sharad Vesawkar,06-10-1988,United Arab Emirates,Nepal,Right-hand bat,Right-arm medium
Sharif Asadullah,14-12-1984,Pakistan,United Arab Emirates,Right-hand bat,Right-arm fast-medium
Shariful Haque,15-01-1976,Bangladesh,Bangladesh,Right-hand bat,Off-break
Sharjeel Khan,14-08-1989,Pakistan,Pakistan,Left-hand bat,Leg-break
Shaukat Dukanwala,21-01-1957,India,United Arab Emirates,Right-hand bat,Off-break
Shaul Karnain,11-08-1962,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm medium
Shaun Graf,19-05-1957,Australia,Australia,Right-hand bat,Right-arm fast-medium
Shaun Marsh,09-07-1983,Australia,Australia,Left-hand bat,Slow left-arm
Shaun Pollock,16-07-1973,South Africa,South Africa,Right-hand bat,Right-arm fast-medium
Shaun Tait,22-02-1983,Australia,Australia,Right-hand bat,Right-arm fast
Shaun Udal,18-03-1969,England,England,Right-hand bat,Off-break
Shaun Young,13-06-1970,Australia,Australia,Left-hand bat,Right-arm fast-medium
Shawn Findlay,03-03-1984,Jamaica,West Indies,Left-hand bat,Right-arm fast-medium
Shayne O'Connor,15-11-1973,New Zealand,New Zealand,Left-hand bat,Left-arm fast-medium
Sheldon Cottrell,19-08-1989,Jamaica,West Indies,Right-hand bat,Left-arm fast-medium
Shem Ngoche,06-06-1989,Kenya,Kenya,Right-hand bat,Slow left-arm
Sher Lama,09-01-1973,Hong Kong,Hong Kong,Right-hand bat,Right-arm medium
Sherwin Campbell,01-11-1970,Barbados,West Indies,Right-hand bat,Right-arm medium
Sherwin Ganga,13-02-1982,Trinidad and Tobago,,Left-hand bat,Off-break
Shikhar Dhawan,05-12-1985,India,India,Left-hand bat,Off-break
Shingirai Masakadza,04-09-1986,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm fast-medium
Shiraz Sumar,30-11-1949,Tanzania,,Right-hand bat,
Shiv Sunder Das,05-11-1977,India,India,Right-hand bat,Right-arm medium
Shivlal Yadav,26-01-1957,India,India,Right-hand bat,Off-break
Shivnarine Chanderpaul,16-08-1974,Guyana,West Indies,Left-hand bat,Leg-break
Shoaib Akhtar,13-08-1975,Pakistan,Pakistan,Right-hand bat,Right-arm fast
Shoaib Khan,13-04-1985,Pakistan,Pakistan,Left-hand bat,Right-arm medium-fast
Shoaib Malik,01-02-1982,Pakistan,Pakistan,Right-hand bat,Off-break
Shoaib Mohammad,08-01-1961,Pakistan,Pakistan,Right-hand bat,Off-break
Shrimp Leveson Gower,08-05-1873,England,England,Right-hand bat,Leg-break
Shujauddin Butt,10-04-1930,India,Pakistan,Right-hand bat,Slow left-arm
Shunter Coen,14-10-1902,South Africa,South Africa,Right-hand bat,Right-arm
Shute Banerjee,03-10-1911,India,India,Right-hand bat,Right-arm fast-medium
Shuvagata Hom,11-11-1986,Bangladesh,Bangladesh,Right-hand bat,Off-break
